id,class_room_id,dayoftheWeek,from,to
212,136,wed,15:30,17:20
213,137,wed,15:30,17:20
214,136,thu,13:30,15:20
215,137,thu,13:30,15:20
216,136,thu,15:30,17:20
217,137,thu,15:30,17:20
218,136,thu,17:30,19:20
219,137,thu,17:30,19:20
220,136,fri,13:30,15:20
221,137,fri,13:30,15:20
222,136,fri,15:30,17:20
223,137,fri,15:30,17:20
224,164,wed,13:30,14:45
225,164,fri,13:30,14:45
226,100,mon,12:00,13:15
227,100,fri,10:30,11:45
228,163,tue,13:30,14:45
229,163,thu,13:30,14:45
230,164,tue,12:00,13:15
231,164,thu,12:00,13:15
232,167,tue,09:00,10:15
233,167,thu,09:00,10:15
234,139,mon,15:00,18:50
235,139,wed,15:00,18:50
236,139,fri,15:00,18:50
237,167,mon,10:30,11:45
238,167,wed,12:00,13:15
239,167,wed,13:30,14:45
240,167,fri,13:30,14:45
241,138,mon,15:00,18:50
242,138,wed,15:00,18:50
243,138,fri,15:00,18:50
244,163,wed,15:00,16:15
245,163,fri,15:00,16:15
246,167,tue,13:30,14:45
247,167,thu,13:30,14:45
248,164,mon,13:30,14:45
249,164,fri,12:00,13:15
250,164,tue,10:30,11:45
251,164,thu,10:30,11:45
252,151,tue,16:30,17:45
253,93,tue,15:00,15:50
254,118,mon,10:30,11:45
255,118,wed,12:00,13:15
256,112,mon,09:00,10:15
257,112,wed,10:30,11:45
258,117,mon,15:00,16:15
259,117,wed,16:30,17:45
260,106,tue,12:00,13:15
261,106,thu,12:00,13:15
262,111,mon,10:30,11:45
263,111,wed,12:00,13:15
264,109,tue,09:00,10:15
265,109,thu,09:00,10:15
266,119,mon,15:00,16:15
267,119,wed,16:30,17:45
268,109,tue,12:00,13:15
269,109,thu,12:00,13:15
270,108,wed,15:00,16:15
271,108,fri,15:00,16:15
272,108,tue,09:00,10:15
273,108,thu,09:00,10:15
274,111,tue,10:30,11:45
275,111,thu,10:30,11:45
276,113,mon,12:00,13:15
277,113,fri,10:30,11:45
278,113,tue,15:00,16:15
279,113,thu,15:00,16:15
280,108,tue,16:30,17:45
281,108,thu,16:30,17:45
282,97,mon,10:30,11:45
283,97,wed,12:00,13:15
284,110,mon,13:30,14:45
285,110,fri,12:00,13:15
286,111,tue,09:00,10:15
287,111,thu,09:00,10:15
288,104,mon,09:00,10:15
289,104,wed,10:30,11:45
290,113,wed,09:00,10:15
291,113,fri,09:00,10:15
292,113,wed,13:30,14:45
293,113,fri,13:30,14:45
294,117,tue,13:30,14:45
295,117,thu,13:30,14:45
296,117,wed,09:00,10:15
297,117,fri,09:00,10:15
298,104,tue,15:00,16:15
